# 通假字对：本字不在、借另一个字代替（早/蚤、甫/父）。
# 与异体（同一个字的不同写法）分属两类，各自审阅。
# 格式：刻本形	校对本形	来源。只追加不删除。
# 由 feedback/collate_consumers.mark_jiajie 写。
疎	踈	human:evt_bxgb-collate_000010
預	與	human:evt_bxgb-collate_000015
凋	彫	human:evt_bxgb-collate_000032
凘	澌	human:evt_bxgb-collate_000034
召	邵	human:evt_bxgb-collate_000038
嬴	贏	human:evt_bxgb-collate_000041
幞	襆	human:evt_bxgb-collate_000043
撻	橽	human:evt_bxgb-collate_000050
甫	父	human:evt_bxgb-collate_000058
他	它	human:evt_bxgb-collate_000060
歧	岐	human:evt_bxgb-collate_000062
